place_id,name,category,address,district,recommend,source_api,recommendation_basis,overview,representative_food,source_summary
133387,별천지식당,restaurant,대전광역시 동구 산서로1659번길 29 (대별동),동구,추천,tourapi,,"별천지는 대전 동구에 위치한 닭·오리 요리 전문 음식점이다. 이곳은 동충하초 등 한방을 원료로 하여 다양한 닭·오리 요리를 제공하고 있다. 닭과 오리뿐만 아니라 돼지고기, 수제비, 불낙전골 등 다양한 요리를 취급한다. 또한, 40년 넘는 역사를 자랑하여 이를 인정받아 중소벤처기업부 인증 백년가게로 선정되었다. 그리고 대전 도심 가까이 위치해 있지만 대전천변에 위치하여 주변 풍경이 좋다. 국도 17호선 대전로에서 산서로를 통해 접근할 수 있다. 고속도로는 통영대전고속도로 판암 IC 및 남대전 IC가 가깝다. 주변에는 식장산, 보문산 등이 있다.",,
133876,용운산성,restaurant,대전광역시 동구 새울로 42-21,동구,추천,tourapi,,"용운산성은 대전광역시 동구 용운동에 있는 한식당이다. 음식점 앞에 넓은 주차장이 자리하여 편리하고, 잘 꾸며진 조경과 깔끔한 건물의 모습을 볼 수 있다. 이곳은 농림축산식품부 제공 ‘안심식당’이자, 대전광역시로부터 ‘소비자보호 모범업소’와 ‘모범음식점’으로 선정된 곳이다. 구이류 메뉴는 스페셜모듬구이, 꽃등심, 돼지양념갈비, 육회 등이 있고 식사메뉴는 불고기 정식, 갈비찜정식 등 다양한 정식 메뉴를 맛볼 수 있다.",,
133881,귀빈돌솥밥,restaurant,대전광역시 서구 만년로68번길 21,서구,추천,tourapi,,"귀빈돌솥밥은 대전 서구에 위치한 한식 전문점이다. 중소벤처기업부 백년가게 인증을 받은 전통 있는 음식점으로 입구부터 예스러운 분위기를 자아내며 매장은 2층 규모로 크다. 대표메뉴는 돌솥밥이고 각종 나물과 겉절이 등 다양한 반찬이 제공되어 푸짐한 식사를 할 수 있다. 홀과 룸이 모두 완비되어 있어 각자 필요에 맞추어 편리하게 식사할 수 있다. 대전엑스포시민광장, 대전시립미술관 등과 인접해 있으며, 대중교통을 이용할 경우 대전도시철도 1호선 정부청사역에서 하차해 도보 20분 또는 버스를 타고 10분 이동하면 된다.",,
134714,청주해장국,restaurant,대전광역시 유성구 온천로 63,유성구,추천,tourapi,,"청주해장국은 대전 유성구에 위치한 전국 최대 규모의 해장국 전문점이다. 이곳은 1937년 청주 무심천변에서 해장국을 처음 만들기 시작하여 70년대 초 대전으로 이전하였고 현재에 이르기까지 60년 넘게 대를 이어 오로지 해장국만을 만들어 온 곳이다. 이곳은 우리 고유 전통의 우수한 토속 음식을 현대에 맞게 개발하였다. 대표 메뉴는 소고기해장국, 등뼈해장국, 황태해장국 등이 있다. 황태해장국은 유명 음식 프로그램에 소개된 적 있는 메뉴이다.",,
1807489,광천식당,restaurant,대전광역시 중구 대종로505번길 29,중구,추천,tourapi,,30여 년 전통의 두루치기 전문점이다. 칼칼하고 매콤한 특제 양념에 고소한 두부를 넣은 두부 두루치기와 오징어 두루치기가 대표 메뉴이다. 다 먹고 남은 양념에 칼국수와 밥을 비벼 먹으면 그것 또한 별미이다. 멸치를 우려낸 육수로 끓인 칼국수도 인기 메뉴이다.,,
1807586,태화장,restaurant,대전광역시 동구 중앙로203번길 78,동구,추천,tourapi,,"1954년에 개업하여 60년 넘는 전통을 가진 중식당 태화장은 닭고기 육수에 해물을 넣고 끓인 삼선짬뽕, 각종 해물과 야채를 넣고 볶은 삼선볶음밥, 춘장의 맛을 살린 옛날식 짜장면 등을 메뉴로 하고 있다. 태화장은 2017년 ‘대전 기네스’에 대전에서 가장 오래된 중국집으로 선정되었다. 태화장은 1954년 개업 이후 가업을 이어가고 있는 곳이다.",,
1914224,신도칼국수 본점,restaurant,대전광역시 동구 대전로825번길 11,동구,추천,tourapi,,1961년 개업해 현재까지 대전 지역의 칼국수 맛집으로 손꼽히는 식당이다. 사골과 멸치를 우려낸 국물에 들깻가루를 풀어 고소한 풍미가 입 안 가득 퍼진다. 두부두루치기는 자극적인 맛과 풍부한 두부 양으로 인기가 있다. 칼국수는 진한 국물과 쫄깃한 면발이 특징이며 수육은 지방이 적어 담백하고 부드럽다. 수육 또는 두부두루치기와 함께 즐기기를 추천한다.,,
1914255,소나무집,restaurant,대전광역시 중구 대종로460번길 59,중구,추천,tourapi,,"소나무집은 대전 중구 대흥동에 자리한 음식점으로 오징어볶음에 알타리와 물을 넣고 찌개처럼 끓인 오징어찌개가 대표 메뉴다. 그러나 소나무집을 찾은 이들 중 열에 아홉은 오징어찌개에 칼국수면 사리를 넣어 이른바 오징어 칼국수처럼 즐긴다. 이곳의 오징어찌개야말로 대전 사람들이 칼국수를 어떤 식으로 변주하는지를 엿볼 수 있는 좋은 예라고 할 수 있다. 깔끔하면서도 정겨운 식당 분위기, 빠르고 친절한 서비스 또한 소나무집의 인기 요인 중 하나다.",,
1920784,계룡삼계탕,restaurant,대전광역시 유성구 진잠로92번길 33,유성구,추천,tourapi,,"계룡삼계탕은 10가지 이상의 한약재로 우려낸 육수를 사용하는 삼계탕 전문점이다. 한약재로는 인삼, 황칠, 황기, 엄나무, 도라지, 잔대, 녹각, 감초 등이 들어가 원기 회복에 좋은 삼계탕과 백숙을 맛볼 수 있다. 메뉴는 약녹두삼계탕, 능이녹두삼계탕, 약백숙, 옻백숙 등이 있으며 대표 메뉴는 약녹두삼계탕이다. 정갈한 반찬과 인삼 막걸리도 이곳의 강점이라 할 수 있다. 주변에는 진잠향교, 방동저수지, 구봉산 등의 관광지가 있다.",,
1923508,반석 한우촌,restaurant,대전광역시 유성구 반석로12번안길 56,유성구,추천,tourapi,,"반석한우촌은 부드러운 식감의 한우를 맛볼 수 있는 한우 전문점이다. 대표 메뉴는 한우 스페셜로, 등심, 채끝살, 치마살, 업진살, 부채살을 맛볼 수 있도록 구성되어 있다. 이 외에도 차돌박이, 육사시미, 육회, 한우보양탕, 갈비탕, 불고기전골 등 다양한 메뉴를 취급하고 있다. 주택가와 아파트가 밀집되어 있어 지역 주민들이 많이 찾고 있는 곳으로 대전과 세종을 연결하는 교통의 요지에 있어서 대전뿐만 아니라 세종 방면에서도 접근성이 좋다. 주변에는 국립대전현충원, 대전월드컵경기장 등이 있다.",,
1923929,비빔가,restaurant,대전광역시 유성구 신성로84번길 41,유성구,추천,tourapi,,"비빔가는 대전 유성구 대덕연구단지 내에 있는 비빔밥 전문점이다. 이곳에서는 신선한 야채와 직접 짜낸 참기름, 고추장을 넣어 정성껏 비벼낸 전주식 비빔밥을 전통 놋그릇에 정갈하게 담아 제공한다. 비빔밥 외에도 전주 콩나물국밥, 소갈비찜, 녹두삼계탕 등 다양한 한식 메뉴를 취급하며, 한 끼 식사로 든든하고 깔끔한 맛을 찾는 손님들에게 인기가 높다. 주택가와 연구소가 밀집한 지역에 위치해 있어 지역 주민과 대덕연구단지 내 직장인들이 자주 찾는 식당이다.",,
